INFO - 2021-01-26 18:21:06,728 - process: 27808 - cnn.py - util.log - 72 - cnn - Start training
INFO - 2021-01-26 18:21:20,512 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 0
INFO - 2021-01-26 18:21:34,382 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 1
INFO - 2021-01-26 18:21:48,081 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 2
INFO - 2021-01-26 18:22:01,927 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 3
INFO - 2021-01-26 18:22:15,886 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 4
INFO - 2021-01-26 18:22:29,800 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 5
INFO - 2021-01-26 18:22:44,084 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 6
INFO - 2021-01-26 18:22:59,278 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 7
INFO - 2021-01-26 18:23:13,658 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 8
INFO - 2021-01-26 18:23:28,082 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 9
INFO - 2021-01-26 18:23:42,235 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 10
INFO - 2021-01-26 18:23:56,670 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 11
INFO - 2021-01-26 18:24:14,529 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 12
INFO - 2021-01-26 18:24:31,216 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 13
INFO - 2021-01-26 18:24:49,996 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 14
INFO - 2021-01-26 18:25:05,103 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 15
INFO - 2021-01-26 18:25:18,815 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 16
INFO - 2021-01-26 18:25:34,324 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 17
INFO - 2021-01-26 18:25:49,367 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 18
INFO - 2021-01-26 18:26:04,429 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 19
INFO - 2021-01-26 18:26:19,567 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 20
INFO - 2021-01-26 18:26:34,709 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 21
INFO - 2021-01-26 18:26:49,879 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 22
INFO - 2021-01-26 18:27:05,015 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 23
INFO - 2021-01-26 18:27:19,406 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 24
INFO - 2021-01-26 18:27:32,601 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 25
INFO - 2021-01-26 18:27:45,771 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 26
INFO - 2021-01-26 18:27:58,931 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 27
INFO - 2021-01-26 18:28:12,056 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 28
INFO - 2021-01-26 18:28:25,148 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 29
INFO - 2021-01-26 18:28:38,257 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 30
INFO - 2021-01-26 18:28:51,579 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 31
INFO - 2021-01-26 18:29:04,765 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 32
INFO - 2021-01-26 18:29:17,922 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 33
INFO - 2021-01-26 18:29:31,091 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 34
